Date,Ticker,Open,High,Low,Close,Volume
2023-06-29,FNV,131.5222701086,134.7833934764,131.2893327252,134.6669247847,341450
2023-06-29,FQVLF,22.893603152,23.3040172225,22.8391340022,22.8850237621,15186
2023-06-29,FWONK,73.5791543756,74.267453294,73.0088495575,73.6578171091,1374015
2023-06-29,FXI,24.9468679409,25.0488053657,24.9097997865,24.9654020182,24342116
2023-06-29,GDX,27.9124667155,28.6078638102,27.7772506138,28.6078638102,17501668
2023-06-29,GDXJ,32.3123489905,33.2309591464,32.151355458,33.2214889386,5560659
2023-06-29,GIS,67.5241716603,67.6253611279,66.9525831549,67.1370119584,5836770
2023-06-29,GLD,175.83,177.63,175.79,177.09,6862511
2023-06-29,GLRE,10.21,10.505,10.21,10.34,139858
2023-06-29,GM,37.1726032391,37.4538465196,36.8525677821,37.0465286651,10460347
2023-06-29,GNRC,148.53,152.13,144.44,147.4,1943877
2023-06-29,GOOG,119.0344491731,119.847241648,118.1621840779,118.9551523462,18517458
2023-06-29,GRBK,55.28,56.6,54.84,56.31,457526
2023-06-29,GS,296.4174338182,303.5515957459,294.9253215196,301.3041015961,3553574
2023-06-29,GSK,31.2276972113,31.5924651844,31.1609713626,31.5123941659,4049963
2023-06-29,GTBIF,7.35,7.55,7.33,7.48,113212
2023-06-29,GUSH,27.0502861201,28.1022572765,27.0502861201,28.0368232165,986712
2023-06-29,H,108.9711449823,111.2720309615,108.9711449823,110.906654218,386399
2023-06-29,HD,284.2238719669,285.4737788241,281.6760668691,285.1874055311,3279710
2023-06-29,HGRAF,0.093,0.093,0.0879,0.09,196300
2023-06-29,HL,4.9082492605,5.0662613091,4.8539326188,5.046509803,4945663
2023-06-29,HON,187.6375609294,191.5401107343,187.0072203433,191.3917953023,2573753
2023-06-29,IBM,119.5502985108,121.9095453884,119.495854352,121.6463986213,3639836
2023-06-29,IMPUY,6.3138605588,6.5246419432,6.2276318107,6.5150609712,260626
2023-06-29,INDL,44.703096716,44.8165125845,44.5514965576,44.7010122138,18125
2023-06-29,INTC,32.6684349398,32.6684349398,31.8355564245,32.2470963968,38312970
2023-06-29,ITUB,4.01708031,4.0587801056,4.0066553611,4.0448801737,14740871
2023-06-29,JPM,130.785143461,134.0438009228,130.5797266582,133.9224182666,15423230
2023-06-29,KHC,29.8032647655,29.879901732,29.6585060509,29.8202952025,5822354
2023-06-29,KMI,14.4079605192,14.551281367,14.3826686049,14.5006975384,13491294
2023-06-29,KO,55.1309400301,55.2499540155,54.714391081,54.9478415909,17142305
2023-06-29,KR,44.2015686061,44.2296628234,43.3493773469,43.3774715643,4758688
2023-06-29,KRE,37.7317561364,38.3754858292,37.7133638594,37.980051875,18580576
2023-06-29,KWEB,24.0781359603,24.1767800928,23.8719697236,24.0602006635,14379723
2023-06-29,LLY,449.4385994879,456.0667076187,447.9173654534,454.7547925677,2112385
2023-06-29,LMT,415.0963149289,422.1173030082,414.0445506174,422.0342689836,684263
2023-06-29,LULU,378.02,379.96,369.84,370.26,1103546
2023-06-29,LUV,33.2311726087,33.6996131586,33.0437963887,33.6808755366,8144813
2023-06-29,LVS,54.6165993256,54.7582888776,54.0451181324,54.2009766396,4015094
2023-06-29,LYB,74.0269039861,75.1215641193,73.6415180217,74.3384926383,1467250
2023-06-29,MA,374.227996951,381.263502946,373.8840825518,380.9294146725,2524838
